title,data
PREFEITURA DE DUQUE DE CAXIAS ANUNCIA RETORNO DAS OBRAS DA PONTE DO PILAR,08/04/2024 14:24
"PREFEITURA DE DUQUE DE CAXIAS SEGUE COM VACINAÇÃO ANTIRRÁBICA NOS BAIRROS JARDIM PRIMAVERA, PRAINHA E VILA IDEAL NOS DIAS 09 E 11 DE ABRIL",08/04/2024 11:58
AS ENTREGAS DO CARTÃO RECOMEÇAR CONTINUAM NA PRÓXIMA SEMANA,05/04/2024 16:37
DUQUE DE CAXIAS REFORÇA NOVA ESTRATÉGIA DE VACINAÇÃO CONTRA O VÍRUS HPV EM DOSE ÚNICA PARA MENINOS E MENINAS DE 09 A 19 ANOS,05/04/2024 16:30
"SECRETARIA DE HABITAÇÃO DE DUQUE DE CAXIAS LEVA CAMPANHA DE PREVENÇÃO À  DENGUE PARA CONDOMÍNIO MÔNACO, NO CANGULO ",05/04/2024 14:53
"TEATRO RAUL CORTEZ TEM APRESENTAÇÃO DE NANY PEOPLE, COMÉDIA ROMÂNTICA E SHOW GRATUITO DA BANDA BLITZ EM ABRIL",04/04/2024 15:56
HOSPITAL ADÃO PEREIRA NUNES BATE NOVO RECORDE HISTÓRICO E FECHA O MÊS DE MARÇO COM 1.965 CIRURGIAS REALIZADAS,04/04/2024 15:41
GOVERNO DO ESTADO ENTREGA SEGUNDA PARCIAL DO PRIMEIRO LOTE DO CARTÃO RECOMEÇAR EM DUQUE DE CAXIAS,04/04/2024 15:36
PREFEITURA DE DUQUE DE CAXIAS REALIZA AULA INAUGURAL DO PROGRAMA MULHERES MIL,04/04/2024 14:59
ABRIL LARANJA: DUQUE DE CAXIAS REALIZA MAIS UMA EDIÇÃO DO PET DAY NO MUNICÍPIO ,04/04/2024 12:14
FUNDEC ABRE PERÍODO DE INSCRIÇÕES PARA O CURSO GRATUITO DE TÉCNICO EM ENFERMAGEM,02/04/2024 16:37
GOVERNO DO RIO ENTREGA PRIMEIRO LOTE DO CARTÃO RECOMEÇAR EM DUQUE DE CAXIAS,02/04/2024 16:34
